agency_id,route_id,route_short_name,route_long_name,route_type
SKY:Authority:SKY,SKY:Line:331,331,Lindås - Syslak - Risasjøen - Lauvås,704
SKY:Authority:SKY,SKY:Line:34,34,Langarinden - Åsane terminal,704
SKY:Authority:SKY,SKY:Line:340,340,Ostereidet - Eidsnes - Leknes - Knarvik,704
SKY:Authority:SKY,SKY:Line:341,341,Tveitegrend - Vaet - Fammestad - Hillesvåg,704
SKY:Authority:SKY,SKY:Line:342,342,Vågseidet - Skauge - Myking - Eikanger,704
SKY:Authority:SKY,SKY:Line:343,343,Hindenes - Eikanger - Knarvik,704
SKY:Authority:SKY,SKY:Line:344,344,Nesbøsjøen - Ostereidet,704
SKY:Authority:SKY,SKY:Line:345,345,Ådnekvam - Andvik - Masfjordnes - Andås,704
SKY:Authority:SKY,SKY:Line:346,346,Førde -  Oppedal - Knarvik - Bergen,704
SKY:Authority:SKY,SKY:Line:35,35,Hordvik - Tellevik - Salhus - Åsane terminal,704
SKY:Authority:SKY,SKY:Line:350,350,Sløvåg - Duesund,704
SKY:Authority:SKY,SKY:Line:351,351,Duesund - Solheim - Matre - Haukeland,704
SKY:Authority:SKY,SKY:Line:36,36,Hordvikneset - Åsane terminal - sentrum,704
SKY:Authority:SKY,SKY:Line:37,37,Breistein - Åsane terminal,704
SKY:Authority:SKY,SKY:Line:38,38,Hetlebakk - Åsane terminal,704
SKY:Authority:SKY,SKY:Line:39,39,Viddalen - Ervik - Bergen busstasjon,704
SKY:Authority:SKY,SKY:Line:390,390,Nordhordland,1008
SKY:Authority:SKY,SKY:Line:3E,3E,Støbotn - sentrum,704
SKY:Authority:SKY,SKY:Line:4,4,Flaktveit - Hesjaholtet,704
SKY:Authority:SKY,SKY:Line:40,40,Storavatnet terminal - Olsvik - Bergen busstasjon,704
SKY:Authority:SKY,SKY:Line:40E,40E,Olsvikskjenet - Bergen busstasjon,704
SKY:Authority:SKY,SKY:Line:41,41,Hetlevikåsen - Loddefjord terminal,704
SKY:Authority:SKY,SKY:Line:42,42,Alvøen - Loddefjord terminal,704
SKY:Authority:SKY,SKY:Line:420,420,Skuleturar Sund,704
SKY:Authority:SKY,SKY:Line:424,424,Ramsvik - Bergen,704
SKY:Authority:SKY,SKY:Line:43,43,Tyssøy/Bjorøy - Loddefjord terminal,704
SKY:Authority:SKY,SKY:Line:44,44,Gravdal - Nipedalen,704
SKY:Authority:SKY,SKY:Line:441,441,Hjelteryggen - Bergen,704
SKY:Authority:SKY,SKY:Line:442,442,Brattholmen - Bergen,704
SKY:Authority:SKY,SKY:Line:445,445,Anglevik - Straume,704
SKY:Authority:SKY,SKY:Line:448,448,Liaskjæret - Straume,704
SKY:Authority:SKY,SKY:Line:449,449,Skuleturar Fjell,704
SKY:Authority:SKY,SKY:Line:45,45,Loddefjord - Skålevik - Brøstaneset - Loddefjord,704
SKY:Authority:SKY,SKY:Line:450,450,Skogsskiftet - Bergen,704
SKY:Authority:SKY,SKY:Line:450E,450E,Skogsskiftet - Bergen,704
SKY:Authority:SKY,SKY:Line:452,452,Kallestad/Haganes - Tellnes skule,704
SKY:Authority:SKY,SKY:Line:454,454,Klokkarvik- Eidesjøen-Skogsskiftet,704
SKY:Authority:SKY,SKY:Line:455,455,Forland -Skogsskiftet,704
SKY:Authority:SKY,SKY:Line:457,457,Sæle-Viksøy - Skogsskiftet,704
SKY:Authority:SKY,SKY:Line:458,458,Glesvær - Tælavåg - Skogsskiftet,704
SKY:Authority:SKY,SKY:Line:459,459,Tælavåg - Glesvær - Skogsskiftet,704
SKY:Authority:SKY,SKY:Line:46,46,Løvstakkskiftet - Fyllingsdalen Terminal,704
SKY:Authority:SKY,SKY:Line:460,460,Ågotnes - Bergen,704
SKY:Authority:SKY,SKY:Line:460E,460E,Ågotnes - Bergen,704
SKY:Authority:SKY,SKY:Line:462,462,Morland/Fjæreide - Ågotnes,704
SKY:Authority:SKY,SKY:Line:465,465,Ågotnes - Ulveset - Straume,704
SKY:Authority:SKY,SKY:Line:466,466,Nesse/Ekren - Straume,704
SKY:Authority:SKY,SKY:Line:467,467,Algrøy/Lokøy/Syltøy - Åse - Straume,704
SKY:Authority:SKY,SKY:Line:470,470,Skuleturar Øygarden,704
SKY:Authority:SKY,SKY:Line:471,471,Turøy - Vindenes - Ågotnes,704
